hosptial

VEHICLE
NUMBER     CAPACITY
  7          150

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0          35      35           0       0         230           0
    1          41      39          10     161         171          10
    2          35      37           7      50          60          10
    3          25      45          13     116         126          10
    4          33      40          19     149         159          10
    5          45      44          26      34          44          10
    6          35      43           3      99         109          10
    7          38      39           5      81          91          10
    8          47      43           9      95         105          10
    9          38      29          16      97         107          10
   10          40      28          16     124         134          10
   11          48      29          12      67          77          10
   12          37      35          19      63          73          10
   13          28      49          23     159         169          10
   14          35      42          20      32          42          10
   15          40      35           8      61          71          10
   16          42      41          19      75          85          10
   17          33      30           2     157         167          10
   18          27      40          12      87          97          10
   19          37      30          17      76          86          10
   20          35      29           9     126         136          10
